Id;Label;Eccentricity;Closeness Centrality;Betweenness Centrality;Degree;Weighted Degree;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality;PageRank;Authority;Hub
1;u0;3.0;2.9318737220088775;105026.27564969768;546;4029.0;0;5;0.0;0;0.2465924947122809;0.0011246296157704863;0.001382067;0.001382067
2;u102910;3.0;2.6987681412398383;9196448.351367267;2883;17580.0;0;0;0.0;0;0.6635436434187073;0.007515295225895201;0.007286803;0.007286803
3;u105822;3.0;2.9281831330108226;546866.9495741804;583;3445.0;0;5;0.0;0;0.1935837935421166;0.001157312455001594;0.0014755523;0.0014755523
4;u105938;3.0;2.9695775771781956;81363.187025503;168;1253.0;0;5;0.0;0;0.08635381156787834;3.6932766097351726E-4;4.2700057E-4;4.2700057E-4
5;u107885;3.0;2.935464565358336;197243.9317074271;510;2509.0;0;4;0.0;0;0.20615332758801458;7.66567730288892E-4;0.0012911083;0.0012911083
6;u114060;3.0;2.9571093711036855;115374.7542115544;293;2257.0;0;4;0.0;0;0.12227945623877591;6.875645609450211E-4;7.428294E-4;7.428294E-4
7;u127140;3.0;2.96259538177647;19770.116957402788;238;1797.0;0;5;0.0;0;0.11265448607540175;4.88469399788752E-4;6.038647E-4;6.038647E-4
8;u128308;3.0;2.94733429754127;587203.1238785667;391;2754.0;0;3;0.0;0;0.11324969049597251;0.001042971609173077;9.904392E-4;9.904392E-4
9;u129230;3.0;2.9411500673283126;124342.08341257328;453;3037.0;0;5;0.0;0;0.21392962467081003;8.489187721151595E-4;0.0011470903;0.0011470903
10;u135808;3.0;2.9495287018103835;127792.30657792155;369;2260.0;0;5;0.0;0;0.1406395481531227;6.797706362445129E-4;9.3485333E-4;9.3485333E-4
11;u138358;3.0;2.796917859458381;3154846.1086949087;1899;12684.0;0;4;0.0;0;0.4988176927198645;0.0048924870812859355;0.004800598;0.004800598
12;u140151;3.0;2.8973617275946335;1392100.2484191554;892;5591.0;0;2;0.0;0;0.28902616043024437;0.0020812428052630174;0.0022562812;0.0022562812
13;u142206;3.0;2.9560121689691288;160600.1497162396;304;2060.0;0;5;0.0;0;0.11494485769303377;6.439940813722919E-4;7.7062234E-4;7.7062234E-4
14;u144545;3.0;2.938556680464815;349041.4792227443;479;3180.0;0;5;0.0;0;0.18068071533589125;0.0010204195216074997;0.0012127827;0.0012127827
15;u145281;3.0;2.965089022991372;16120.508540764778;213;1532.0;0;4;0.0;0;0.09556969823654082;4.391985981035956E-4;5.40699E-4;5.40699E-4
16;u147265;3.0;2.9458381128123285;242427.08700802855;406;2542.0;0;5;0.0;0;0.16747768093816884;7.855419112130839E-4;0.0010283387;0.0010283387
17;u151489;3.0;2.918108822502618;586464.3007680763;684;4374.0;0;5;0.0;0;0.24407330271513059;0.0013980406923857216;0.001730742;0.001730742
18;u151961;3.0;2.896364271108673;1118208.9387429252;902;5871.0;0;5;0.0;0;0.2983068273509145;0.001957030673425703;0.0022815475;0.0022815475
19;u152805;3.0;2.9631938556680466;61546.1988582657;232;1590.0;0;5;0.0;0;0.10746115890900615;4.6140740927269483E-4;5.8870495E-4;5.8870495E-4
20;u154040;3.0;2.9018502817814573;761514.8361817749;847;4122.0;0;5;0.0;0;0.29153828520286446;0.0013565968152765284;0.0021425828;0.0021425828
21;u155777;3.0;2.9192060246371754;292736.6655364802;673;4468.0;0;5;0.0;0;0.2771789193320376;0.0013109779706480934;0.001702949;0.001702949
22;u159346;3.0;2.9218991571492694;153152.12964223677;646;4478.0;0;5;0.0;0;0.2768156386574687;0.0012552731726908374;0.00163473;0.00163473
23;u161378;3.0;2.965089022991372;137143.55375060547;213;1535.0;0;5;0.0;0;0.09187608710708366;4.897341036348404E-4;5.40699E-4;5.40699E-4
24;u163654;3.0;2.9430452346516383;237578.64775378717;434;2710.0;0;5;0.0;0;0.1660667640660262;8.332941960895051E-4;0.0010990844;0.0010990844
